Fri Mar 26 19:53:42 2021    output.dat

         137168 function calls (132854 primitive calls) in 0.646 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13378    0.015    0.000    0.015    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:233(__next)
    12699    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    12010    0.009    0.000    0.022    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:254(get)
    10911    0.011    0.000    0.012    0.000 {built-in method builtins.isinstance}
10727/9789    0.004    0.000    0.005    0.000 {built-in method builtins.len}
     5481    0.005    0.000    0.015    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:164(__getitem__)
     2852    0.002    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:249(match)
     2279    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     2019    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     2003    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
     1903    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     1850    0.001    0.000    0.002    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:160(__len__)
     1811    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     1509    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
     1475    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
1392/1388    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
     1352    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     1314    0.002    0.000    0.002    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:172(append)
     1196    0.002    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:286(tell)
     1109    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     1069    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1047    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     1047    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
  948/232    0.005    0.000    0.006    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:174(getwidth)
