Fri Mar 26 19:53:42 2021    output.dat

         137168 function calls (132854 primitive calls) in 0.646 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.089    0.005    0.089    0.005 {built-in method pygame.image.load}
      457    0.070    0.000    0.070    0.000 {built-in method nt.stat}
       74    0.054    0.001    0.054    0.001 {built-in method io.open_code}
   491/80    0.036    0.000    0.090    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:493(_parse)
        1    0.035    0.035    0.533    0.533 {built-in method pygame.display.set_mode}
       74    0.025    0.000    0.025    0.000 {built-in method marshal.loads}
    13378    0.015    0.000    0.015    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:233(__next)
  389/385    0.013    0.000    0.110    0.000 {built-in method builtins.__build_class__}
       20    0.013    0.001    0.013    0.001 {method 'convert_alpha' of 'pygame.Surface' objects}
    10911    0.011    0.000    0.012    0.000 {built-in method builtins.isinstance}
   817/76    0.011    0.000    0.038    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:71(_compile)
    12010    0.009    0.000    0.022    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:254(get)
       74    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
        6    0.008    0.001    0.008    0.001 {built-in method _imp.create_dynamic}
      339    0.008    0.000    0.011    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:276(_optimize_charset)
       29    0.008    0.000    0.008    0.000 {built-in method nt.listdir}
      211    0.007    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
      471    0.006    0.000    0.014    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\copy.py:66(copy)
     5481    0.005    0.000    0.015    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:164(__getitem__)
    12699    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
  948/232    0.005    0.000    0.006    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:174(getwidth)
10727/9789    0.004    0.000    0.005    0.000 {built-in method builtins.len}
       10    0.004    0.000    0.004    0.000 {built-in method _imp.exec_builtin}
   338/76    0.004    0.000    0.091    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:435(_parse_sub)
       76    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
       74    0.003    0.000    0.111    0.002 <frozen importlib._bootstrap_external>:856(get_code)
        1    0.003    0.003    0.004    0.004 {method 'readlines' of '_io._IOBase' objects}
       25    0.003    0.000    0.015    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1250(setParseAction)
       22    0.003    0.000    0.003    0.000 {built-in method nt._getfinalpathname}
    107/2    0.003    0.000    0.502    0.251 <frozen importlib._bootstrap>:1002(_find_and_load)
      705    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x00007FFC2B5C4C60}
     2003    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
       18    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
        1    0.003    0.003    0.012    0.012 c:\Users\KJ\Documents\SPRING2021\CEN4090L\Pacman_v5\Game.py:58(load_level)
       18    0.003    0.000    0.006    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\collections\__init__.py:345(namedtuple)
      104    0.003    0.000    0.088    0.001 <frozen importlib._bootstrap>:901(_find_spec)
       86    0.002    0.000    0.142    0.002 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
       91    0.002    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:88(__setitem__)
     1047    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      335    0.002    0.000    0.002    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1144(__init__)
       94    0.002    0.000    0.082    0.001 <frozen importlib._bootstrap_external>:1309(_get_spec)
     1047    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      471    0.002    0.000    0.005    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\copy.py:258(_reconstruct)
     2852    0.002    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:249(match)
        4    0.002    0.000    0.099    0.025 c:\Users\KJ\Documents\SPRING2021\CEN4090L\Pacman_v5\pacman.py:111(__init__)
     1196    0.002    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:286(tell)
      231    0.002    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:432(_uniq)
1392/1388    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
        9    0.002    0.000    0.005    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:179(__new__)
